Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 74.0.3729.169,,2019-05-29 21:15:08,2019-05-29 21:20:56,5m - 48.276s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_LPR_FixtureSheildingForm,Chrome 74.0.3729.169,,2019-05-29 21:15:08,2019-05-29 21:17:07,1m - 59.355s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_LPR_FixtureSheildingForm),Chrome 74.0.3729.169,,2019-05-29 21:15:09,2019-05-29 21:17:07,1m - 58.824s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_VerifyLPR,Chrome 74.0.3729.169,,2019-05-29 21:17:07,2019-05-29 21:17:39,31.763s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_VerifyLPR),Chrome 74.0.3729.169,,2019-05-29 21:17:08,2019-05-29 21:17:39,31.407s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_DownloadLPR,Chrome 74.0.3729.169,,2019-05-29 21:17:39,2019-05-29 21:20:55,3m - 15.737s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DownloadLPR),Chrome 74.0.3729.169,,2019-05-29 21:17:39,2019-05-29 21:20:55,3m - 15.538s,PASSED
