Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 74.0.3729.169,,2019-05-27 23:11:42,2019-05-27 23:15:27,3m - 45.387s,FAILED
,,,,,,
Test Cases/LightPollutionReduction/TC_LPR_FixtureSheildingForm,Chrome 74.0.3729.169,,2019-05-27 23:11:42,2019-05-27 23:12:49,1m - 7.002s,FAILED
runWithCucumberRunner(lightPollutionReductionForm.Runner_LPR_FixtureSheildingForm),Chrome 74.0.3729.169,,2019-05-27 23:11:43,2019-05-27 23:12:49,1m - 6.523s,FAILED
,,,,,,
Test Cases/LightPollutionReduction/TC_VerifyLPR,Chrome 74.0.3729.169,,2019-05-27 23:12:49,2019-05-27 23:13:18,28.078s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_VerifyLPR),Chrome 74.0.3729.169,,2019-05-27 23:12:50,2019-05-27 23:13:18,27.837s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_DownloadLPR,Chrome 74.0.3729.169,,2019-05-27 23:13:18,2019-05-27 23:13:18,0.417s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DownloadLPR),Chrome 74.0.3729.169,,2019-05-27 23:13:18,2019-05-27 23:13:18,0.195s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_LPR_PerimeterMeasurements,Chrome 74.0.3729.169,,2019-05-27 23:13:18,2019-05-27 23:13:55,37.213s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_LPR_PreimeterMeasurements),Chrome 74.0.3729.169,,2019-05-27 23:13:18,2019-05-27 23:13:55,36.986s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_DeleteTableData,Chrome 74.0.3729.169,,2019-05-27 23:13:55,2019-05-27 23:14:25,29.817s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DeleteTableData),Chrome 74.0.3729.169,,2019-05-27 23:13:55,2019-05-27 23:14:25,29.549s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_DeleteLPR,Chrome 74.0.3729.169,,2019-05-27 23:14:25,2019-05-27 23:15:27,1m - 1.542s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DeleteLPR),Chrome 74.0.3729.169,,2019-05-27 23:14:25,2019-05-27 23:15:27,1m - 1.175s,PASSED
