Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 74.0.3729.169,,2019-05-30 11:11:58,2019-05-30 11:20:06,8m - 8.173s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_LPR_FixtureSheildingForm,Chrome 74.0.3729.169,,2019-05-30 11:11:58,2019-05-30 11:14:01,2m - 2.977s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_LPR_FixtureSheildingForm),Chrome 74.0.3729.169,,2019-05-30 11:11:59,2019-05-30 11:14:01,2m - 2.438s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_VerifyLPR,Chrome 74.0.3729.169,,2019-05-30 11:14:01,2019-05-30 11:14:52,51.370s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_VerifyLPR),Chrome 74.0.3729.169,,2019-05-30 11:14:01,2019-05-30 11:14:52,50.944s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_DownloadLPR,Chrome 74.0.3729.169,,2019-05-30 11:14:52,2019-05-30 11:20:05,5m - 12.645s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DownloadLPR),Chrome 74.0.3729.169,,2019-05-30 11:14:53,2019-05-30 11:20:05,5m - 12.382s,PASSED
