Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GCP_SmokeTest,Chrome 74.0.3729.169,,,2019-06-06 12:17:24,2019-06-06 12:25:29,8m - 5.003s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_CertifiedCleaningService,Chrome 74.0.3729.169,,,2019-06-06 12:17:24,2019-06-06 12:20:00,2m - 36.278s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_CertifiedCleaningService),Chrome 74.0.3729.169,,,2019-06-06 12:17:25,2019-06-06 12:20:00,2m - 35.898s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_VerifyUploadedFile_option2,Chrome 74.0.3729.169,,,2019-06-06 12:20:00,2019-06-06 12:21:41,1m - 40.647s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_VerifyUploadedFile_option2),Chrome 74.0.3729.169,,,2019-06-06 12:20:01,2019-06-06 12:21:41,1m - 40.402s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DownloadFiles_option2,Chrome 74.0.3729.169,,,2019-06-06 12:21:41,2019-06-06 12:24:15,2m - 34.314s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DownloadFiles_option2),Chrome 74.0.3729.169,,,2019-06-06 12:21:42,2019-06-06 12:24:15,2m - 33.767s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DeleteUploadedFiles_option2,Chrome 74.0.3729.169,,,2019-06-06 12:24:15,2019-06-06 12:25:28,1m - 12.678s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DeleteUploadedFiles_option2),Chrome 74.0.3729.169,,,2019-06-06 12:24:16,2019-06-06 12:25:28,1m - 12.486s,FAILED
