Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IPM_SmokeTest,Chrome 74.0.3729.169,,2019-06-06 10:51:27,2019-06-06 10:58:51,7m - 23.901s,PASSED
,,,,,,
Test Cases/IntegratedPestManagement/TC_IPM_CertifiedService,Chrome 74.0.3729.169,,2019-06-06 10:51:27,2019-06-06 10:53:01,1m - 33.968s,PASSED
runWithCucumberRunner(integratedPestMgmtForm.Runner_IPM_CertifiedService),Chrome 74.0.3729.169,,2019-06-06 10:51:28,2019-06-06 10:53:01,1m - 33.436s,PASSED
,,,,,,
Test Cases/IntegratedPestManagement/TC_Verify_Files_IPM_CertifiedService,Chrome 74.0.3729.169,,2019-06-06 10:53:01,2019-06-06 10:53:38,36.619s,PASSED
runWithCucumberRunner(integratedPestMgmtForm.Runner_Verify_Files_IPM_CertifiedService),Chrome 74.0.3729.169,,2019-06-06 10:53:01,2019-06-06 10:53:38,36.352s,PASSED
,,,,,,
Test Cases/IntegratedPestManagement/TC_DownloadFiles_IPM_CertifiedService,Chrome 74.0.3729.169,,2019-06-06 10:53:38,2019-06-06 10:57:30,3m - 52.019s,PASSED
runWithCucumberRunner(integratedPestMgmtForm.Runner_Download_Files_IPM_CertifiedService),Chrome 74.0.3729.169,,2019-06-06 10:53:38,2019-06-06 10:57:30,3m - 51.663s,PASSED
,,,,,,
Test Cases/IntegratedPestManagement/TC_Delete_Files_IPM_CertifiedService,Chrome 74.0.3729.169,,2019-06-06 10:57:30,2019-06-06 10:58:50,1m - 19.723s,PASSED
runWithCucumberRunner(integratedPestMgmtForm.Runner_Delete_Files_IPM_CertifiedService),Chrome 74.0.3729.169,,2019-06-06 10:57:30,2019-06-06 10:58:50,1m - 19.490s,PASSED
