Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 74.0.3729.169,,2019-05-30 11:25:41,2019-05-30 11:29:20,3m - 38.950s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_LPR_PerimeterMeasurements,Chrome 74.0.3729.169,,2019-05-30 11:25:42,2019-05-30 11:27:25,1m - 43.625s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_LPR_PreimeterMeasurements),Chrome 74.0.3729.169,,2019-05-30 11:25:42,2019-05-30 11:27:25,1m - 43.126s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_DeleteTableData,Chrome 74.0.3729.169,,2019-05-30 11:27:25,2019-05-30 11:28:07,41.466s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DeleteTableData),Chrome 74.0.3729.169,,2019-05-30 11:27:25,2019-05-30 11:28:07,41.250s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_DeleteLPR,Chrome 74.0.3729.169,,2019-05-30 11:28:07,2019-05-30 11:29:19,1m - 12.813s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DeleteLPR),Chrome 74.0.3729.169,,2019-05-30 11:28:07,2019-05-30 11:29:19,1m - 12.565s,PASSED
