Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GCP_SmokeTest,Chrome 74.0.3729.169,,,2019-06-06 23:00:29,2019-06-06 23:21:30,21m - 1.453s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_In-house,Chrome 74.0.3729.169,,,2019-06-06 23:00:29,2019-06-06 23:03:26,2m - 57.243s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_In_house),Chrome 74.0.3729.169,,,2019-06-06 23:00:30,2019-06-06 23:03:26,2m - 56.653s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_VerifyUploadedFile_option1,Chrome 74.0.3729.169,,,2019-06-06 23:03:26,2019-06-06 23:04:16,49.345s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_VerifyUploadFile_option1),Chrome 74.0.3729.169,,,2019-06-06 23:03:27,2019-06-06 23:04:16,49.029s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DownloadFiles_option1,Chrome 74.0.3729.169,,,2019-06-06 23:04:16,2019-06-06 23:07:13,2m - 57.495s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DownloadFiles_option1),Chrome 74.0.3729.169,,,2019-06-06 23:04:16,2019-06-06 23:07:13,2m - 57.056s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DeleteUploadedFiles_option1,Chrome 74.0.3729.169,,,2019-06-06 23:07:13,2019-06-06 23:08:42,1m - 28.994s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DeleteUploadedFiles_option1),Chrome 74.0.3729.169,,,2019-06-06 23:07:13,2019-06-06 23:08:42,1m - 28.744s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_CertifiedCleaningService,Chrome 74.0.3729.169,,,2019-06-06 23:08:42,2019-06-06 23:11:38,2m - 56.015s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_CertifiedCleaningService),Chrome 74.0.3729.169,,,2019-06-06 23:08:43,2019-06-06 23:11:38,2m - 55.730s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_VerifyUploadedFile_option2,Chrome 74.0.3729.169,,,2019-06-06 23:11:38,2019-06-06 23:13:33,1m - 54.623s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_VerifyUploadedFile_option2),Chrome 74.0.3729.169,,,2019-06-06 23:11:38,2019-06-06 23:13:33,1m - 54.390s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DownloadFiles_option2,Chrome 74.0.3729.169,,,2019-06-06 23:13:33,2019-06-06 23:15:21,1m - 47.869s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DownloadFiles_option2),Chrome 74.0.3729.169,,,2019-06-06 23:13:33,2019-06-06 23:15:21,1m - 47.727s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DeleteUploadedFiles_option2,Chrome 74.0.3729.169,,,2019-06-06 23:15:21,2019-06-06 23:17:04,1m - 42.882s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DeleteUploadedFiles_option2),Chrome 74.0.3729.169,,,2019-06-06 23:15:21,2019-06-06 23:17:04,1m - 42.664s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_NegativeCases_option1,Chrome 74.0.3729.169,,,2019-06-06 23:17:04,2019-06-06 23:18:07,1m - 3.108s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_NegativeCases_option1),Chrome 74.0.3729.169,,,2019-06-06 23:17:04,2019-06-06 23:18:07,1m - 2.932s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_NegativeCases_option2,Chrome 74.0.3729.169,,,2019-06-06 23:18:07,2019-06-06 23:19:49,1m - 42.572s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_NegativeCases_option2),Chrome 74.0.3729.169,,,2019-06-06 23:18:07,2019-06-06 23:19:49,1m - 42.319s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_AutoSaveAsDraft,Chrome 74.0.3729.169,,,2019-06-06 23:19:49,2019-06-06 23:21:29,1m - 40.158s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_AutoSaveAsDraftGCP),Chrome 74.0.3729.169,,,2019-06-06 23:19:50,2019-06-06 23:21:29,1m - 39.927s,PASSED
